brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,vehicle_age,mileage_per_year,is_luxury,has_accident,clean_title_binary
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.0,13,3642.8571428571427,0,1,1
Hyundai,Palisade SEL,2021,34742.0,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005.0,5,5790.333333333333,0,1,1
Lexus,RX 350 RX 350,2022,22372.0,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None reported,Unknown,54598.0,4,4474.4,1,0,0
INFINITI,Q50 Hybrid Sport,2015,88900.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,15500.0,11,7408.333333333333,0,0,1
Audi,Q3 45 S line Premium Plus,2021,9835.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,None reported,Unknown,34999.0,5,1639.1666666666667,1,0,0
Acura,ILX 2.4L,2016,136397.0,Gasoline,2.4 Liter,F,Silver,Ebony.,None reported,Unknown,14798.0,10,12399.727272727272,0,0,0
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,31000.0,9,8400.0,1,0,1
BMW,740 iL,2001,242000.0,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,None reported,Yes,7300.0,25,9307.692307692309,1,0,1
Lexus,RC 350 F Sport,2021,23436.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,41927.0,5,3906.0,1,0,1
Tesla,Model X Long Range Plus,2020,34000.0,Gasoline,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,69950.0,6,4857.142857142857,0,0,1
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,Unknown,73897.0,5,4601.333333333333,1,0,0
Aston,Martin DBS Superleggera,2019,22770.0,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,184606.0,7,2846.25,0,0,1
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,53500.0,5,2083.3333333333335,0,0,1
Lincoln,Aviator Reserve AWD,2022,18196.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000.0,4,3639.2,0,0,1
Jaguar,F-TYPE,2020,15903.0,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,Unknown,47998.0,6,2271.8571428571427,1,0,0
Land,Rover LR4 HSE,2013,79800.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990.0,13,5700.0,1,0,1
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None reported,Yes,250000.0,5,280.8333333333333,1,0,1
Dodge,Challenger SXT,2013,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16800.0,13,4362.428571428572,0,0,1
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,11000.0,23,3083.3333333333335,0,0,1
Jaguar,F-TYPE R,2018,35250.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,68750.0,8,3916.6666666666665,1,0,1
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,Unknown,Unknown,60000.0,3,1350.0,0,1,0
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None reported,Yes,4500.0,26,4944.814814814815,0,0,1
BMW,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,Unknown,38598.0,6,3712.8571428571427,1,0,0
Ford,F-150 XLT,2023,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504.0,3,705.75,0,0,1
Chevrolet,Suburban RST,2021,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,61000.0,5,8666.666666666666,0,0,1
Hyundai,Elantra N Base,2022,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300.0,4,2330.0,0,0,1
Nissan,Sentra SR,2016,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,Unknown,13998.0,10,8776.454545454546,0,0,0
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995.0,5,2916.6666666666665,1,0,1
BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700.0,11,5750.0,1,0,1
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375.0,9,8188.0,1,0,1
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,48000.0,8,3200.0,1,0,1
Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900.0,20,14294.42857142857,0,1,1
BMW,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,120 AH,Automatic,Black,Black,None reported,Unknown,24998.0,6,5005.0,1,0,0
Kia,Sorento SX,2011,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5999.0,15,10687.5,0,0,1
Lexus,LX 570 Base,2016,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46900.0,10,10790.90909090909,1,0,1
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15900.0,9,11900.0,0,0,1
BMW,340 i,2018,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,Unknown,33598.0,8,4917.888888888889,1,0,0
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8999.0,14,8371.666666666666,1,0,1
